"BALA (CRAIG NANT)",,,,,,,,,,,,
Grid ref,SH839424,Long,-3.730111,Lat,52.966352,,,,,,,
Station no,4327/5/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.38,11.00,3.50,7.83,5.91,,,7.89,9.90,10.97,,
February,5.51,3.93,5.70,6.37,4.20,,,8.46,1.33,7.47,,
March,8.47,3.18,7.13,5.17,2.50,,,0.26,4.37,1.92,,
April,6.08,4.02,2.38,2.60,6.00,,1.32,0.60,8.11,5.24,,
May,2.62,2.93,3.03,6.00,8.00,,2.97,6.25,1.92,1.90,,
June,1.20,4.11,3.90,5.69,8.00,,,2.68,2.70,3.31,,
July,2.84,2.02,8.23,9.28,2.50,,,2.94,5.44,5.89,,
August,6.32,6.83,8.16,10.67,2.00,,,3.17,0.89,5.00,,
September,9.22,7.02,10.55,7.27,5.50,,,10.98,0.83,8.01,,
October,2.38,10.30,3.94,16.33,7.00,,,8.11,10.52,6.39,,
November,14.86,5.80,15.91,16.62,4.40,,,2.73,7.12,15.36,,
December,13.23,8.04,3.36,10.27,9.00,,,6.47,15.89,9.35,,
Total,98.11,69.18,75.79,104.10,65.01,,,60.54,69.02,80.81,,
Calc annual,78.11,69.18,75.79,104.10,65.01,0.00,4.29,60.54,69.02,80.81,,
Difference,20.00,0.00,0.00,0.00,0.00,NaN,NaN,0.00,-0.00,0.00,,
