"BRANDESBURTON HALL (LODGE)",,,,,,,,,,,,
Grid ref,TA112477,Long,-0.308541,Lat,53.913524,,,,,,,
Station no,3400/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.07,2.14,1.05,1.76,1.39,4.89,1.37,2.27,2.15,5.64,,
February,2.85,0.68,2.00,2.27,2.12,1.64,2.44,4.10,0.34,2.21,,
March,3.04,2.26,0.37,2.10,2.53,1.20,1.51,2.00,1.25,1.28,,
April,1.04,1.63,2.44,0.55,1.13,0.99,0.49,0.96,2.38,1.41,,
May,3.87,2.13,1.56,2.08,3.02,1.14,1.36,2.06,0.70,1.25,,
June,2.13,2.03,1.61,2.00,2.06,2.34,2.70,3.78,1.13,0.21,,
July,1.67,1.69,1.19,1.86,1.07,3.78,3.60,2.86,1.26,4.08,,
August,6.47,1.55,2.49,4.98,0.64,5.56,3.85,1.98,0.78,3.81,,
September,1.20,4.05,1.10,2.01,1.08,1.55,3.06,1.84,0.25,2.62,,
October,0.96,2.63,1.79,4.13,1.82,1.24,1.67,1.82,1.73,6.89,,
November,3.79,3.57,1.94,4.44,1.27,1.56,2.28,0.70,3.22,4.66,,
December,1.59,1.84,1.42,2.47,3.15,2.01,2.33,3.05,3.91,2.96,,
Total,30.68,26.20,18.96,30.65,21.28,27.90,26.66,27.42,19.10,37.02,,
Calc annual,30.68,26.20,18.96,30.65,21.28,27.90,26.66,27.42,19.10,37.02,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
