"STOCKS RESERVOIR (ISLAND)",,,,,,,,,,,,
Grid ref,SD731559,Long,-2.411840,Lat,53.998426,,,,,,,
Station no,3085/5/1/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,6.32,4.91,,,
February,,,,,,,,10.05,1.09,,,
March,,,,,,,,1.95,3.01,,,
April,,,,,,,,2.00,3.70,,,
May,,,,,,,,6.15,1.54,,,
June,,,,,,,,3.79,4.39,,,
July,,,,,,,,4.36,4.45,,,
August,,,,,,,,5.92,0.58,,,
September,,,,,,,,6.52,0.68,,,
October,,,,,,,,5.18,7.12,,,
November,,,,,,,,2.01,6.58,,,
December,,,,,,,,5.76,11.55,,,
Total,,,,,,,,60.01,49.60,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.01,49.60,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,NaN,,
