"BULWELL HALL PARK",,,,,,,,,,,,
Grid ref,SK532468,Long,-1.208451,Lat,53.015867,,,,,,,
Station no,2617,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.29,2.35,0.91,1.57,2.55,4.08,1.87,3.06,3.51,5.02,,
February,3.44,0.50,1.84,2.71,2.15,0.83,2.94,4.26,0.23,1.74,,
March,3.84,2.71,1.13,2.41,2.58,0.61,2.62,1.89,1.37,2.31,,
April,2.08,1.99,2.33,0.26,1.38,1.72,0.30,0.86,2.66,1.17,,
May,3.13,2.52,2.41,3.29,3.58,0.63,0.90,2.67,0.71,1.33,,
June,1.56,2.85,3.46,3.83,3.55,3.17,1.57,4.26,0.57,1.31,,
July,0.96,1.89,3.13,1.89,0.99,4.21,2.72,4.67,1.30,3.22,,
August,5.15,2.88,2.09,5.00,0.37,6.27,4.22,3.24,0.85,3.92,,
September,1.60,2.14,1.46,2.97,0.83,2.46,5.98,2.71,0.08,3.91,,
October,0.89,3.67,2.27,3.27,1.60,1.30,1.36,2.11,2.25,5.04,,
November,5.45,1.71,1.66,4.98,1.98,0.85,2.53,1.16,2.31,3.34,,
December,1.95,2.63,0.87,2.37,2.22,2.75,2.20,3.52,3.94,3.82,,
Total,32.34,27.84,23.56,34.55,23.78,28.88,29.21,34.41,19.78,36.13,,
Calc annual,32.34,27.84,23.56,34.55,23.78,28.88,29.21,34.41,19.78,36.13,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
