"LINCOLN (HOLLAND ROW)",,,,,,,,,,,,
Grid ref,SK968716,Long,-0.551251,Lat,53.232624,,,,,,,
Station no,2557/2/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,2.64,4.29,,
February,,,,,,,,,0.30,1.93,,
March,,,,,,,,,1.88,1.29,,
April,,,,,,,,,1.74,1.04,,
May,,,,,,,,,0.63,0.79,,
June,,,,,,,,4.68,0.82,0.88,,
July,,,,,,,,5.77,1.19,4.33,,
August,,,,,,,,2.22,0.75,4.22,,
September,,,,,,,,2.38,0.12,2.84,,
October,,,,,,,,1.40,2.30,4.89,,
November,,,,,,,,0.91,1.80,3.18,,
December,,,,,,,,2.86,3.36,3.73,,
Total,,,,,,,,,17.53,33.41,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.22,17.53,33.41,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
