"WISHAW (CORONATION STREET)",,,,,,,,,,,,
Grid ref,NS810552,Long,-3.898690,Lat,55.775439,,,,,,,
Station no,5170,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.39,3.52,1.31,3.65,2.34,1.80,4.22,2.96,1.24,2.71,,
February,2.31,1.09,1.25,2.00,1.63,1.45,2.53,2.20,1.27,2.88,,
March,2.21,1.46,0.65,1.79,1.38,2.07,2.53,1.28,1.31,1.72,,
April,2.40,1.78,2.06,1.20,0.81,0.75,1.62,1.40,2.03,2.46,,
May,1.77,1.70,1.50,3.04,2.69,1.26,2.03,2.66,0.97,2.01,,
June,2.16,2.19,1.27,2.05,1.25,2.99,1.92,3.11,2.71,1.66,,
July,2.99,2.89,4.30,2.91,1.35,5.13,3.93,5.05,3.94,2.70,,
August,4.81,3.89,2.47,5.08,1.54,4.52,3.82,4.18,0.80,2.64,,
September,2.56,1.97,2.48,5.38,2.82,4.00,2.62,4.10,0.84,1.90,,
October,1.04,2.67,2.00,7.84,2.30,2.34,3.16,2.49,3.59,2.86,,
November,4.86,2.62,5.55,4.78,1.47,1.06,1.48,1.49,4.94,3.52,,
December,4.27,2.75,3.50,4.26,5.33,4.06,2.91,4.45,3.55,4.01,,
Total,34.77,28.53,28.34,43.98,24.91,31.43,32.77,35.37,27.19,31.07,,
Calc annual,34.77,28.53,28.34,43.98,24.91,31.43,32.77,35.37,27.19,31.07,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
