"WATERBEACH (BOTTISHAM LOCK)",,,,,,,,,,,,
Grid ref,TL509657,Long,0.210007,Lat,52.268756,,,,,,,
Station no,1210/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.62,1.17,0.77,0.72,1.35,2.72,1.23,1.74,2.57,1.83,,
February,2.37,0.52,1.07,1.72,1.47,0.51,2.03,2.32,0.14,1.30,,
March,2.77,2.04,0.33,2.19,1.39,0.27,1.65,0.82,2.67,1.51,,
April,3.02,1.18,1.90,0.25,0.31,1.22,0.07,1.13,1.35,0.32,,
May,2.06,0.89,1.45,2.74,2.23,0.51,0.68,2.61,0.46,0.70,,
June,1.66,1.20,2.34,1.91,1.74,1.93,1.66,5.17,1.17,2.48,,
July,0.53,0.55,2.03,2.49,0.16,3.18,1.71,3.69,3.93,3.96,,
August,2.51,2.37,2.05,3.84,1.24,4.50,1.47,3.92,0.59,3.35,,
September,2.89,2.35,1.10,1.38,2.57,0.97,3.54,2.49,0.04,5.64,,
October,0.75,1.31,2.63,1.87,2.67,0.77,1.11,2.02,1.74,4.00,,
November,2.82,2.50,1.05,3.18,1.25,0.88,1.31,1.57,1.24,3.71,,
December,1.32,1.41,0.58,1.87,1.54,1.84,1.61,2.47,2.97,2.83,,
Total,24.32,17.49,17.30,24.16,17.92,19.30,18.07,29.95,18.87,31.63,,
Calc annual,24.32,17.49,17.30,24.16,17.92,19.30,18.07,29.95,18.87,31.63,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
