"MANCHESTER (OLD TRAFFORD)",,,,,,,,,,,,
Grid ref,SJ816961,Long,-2.278598,Lat,53.461321,,,,,,,
Station no,2829,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.69,3.68,1.19,3.44,,4.55,2.26,2.94,2.63,4.23,,
February,1.85,1.01,1.44,3.42,,0.80,2.18,5.00,0.25,1.80,,
March,4.12,2.09,1.78,2.45,,1.04,2.91,2.03,1.15,0.67,,
April,1.78,3.65,2.38,0.70,,3.57,0.51,0.85,2.74,1.44,,
May,2.08,1.53,1.75,2.60,,1.04,1.52,2.78,0.80,1.95,,
June,0.94,2.66,2.33,3.61,,2.45,1.74,4.22,2.18,1.84,,
July,2.58,2.34,3.51,6.26,,5.33,5.21,3.99,2.43,5.19,,
August,3.80,1.85,3.74,4.70,,9.00,4.94,6.06,0.23,4.96,,
September,2.57,3.12,2.68,4.31,,2.26,5.50,4.04,0.24,2.99,,
October,1.07,3.24,1.72,6.04,,2.80,3.78,2.22,3.20,3.81,,
November,6.57,2.41,3.08,5.78,,1.39,1.52,1.29,3.69,3.46,,
December,4.62,2.72,1.25,5.32,,2.96,2.89,3.01,4.53,3.40,,
Total,34.67,30.30,26.85,48.63,,37.19,34.96,38.43,24.07,35.74,,
Calc annual,34.67,30.30,26.85,48.63,0.00,37.19,34.96,38.43,24.07,35.74,,
Difference,0.00,0.00,0.00,0.00,NaN,0.00,0.00,0.00,-0.00,0.00,,
