"KIRKPATRICK DURHAM (CRAIG MANSE)",,,,,,,,,,,,
Grid ref,NX784703,Long,-3.903115,Lat,55.012346,,,,,,,
Station no,5023/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,-999.00,,,,,,,
February,,,,,,,,,,,,
March,,,,3.61,-999.00,,,,,,,
April,,,,1.55,-999.00,,,,,,,
May,,,,4.78,-999.00,,,,,,,
June,,,,4.17,-999.00,,,,,,,
July,,,,4.70,-999.00,,,,,,,
August,,,,5.17,,,,,,,,
September,,,,6.38,,,,,,,,
October,,,,10.46,,,,,,,,
November,,,,11.74,,,,,,,,
December,,,,5.61,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,58.17,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
