"HAILEYBURY COLLEGE",,,,,,,,,,,,
Grid ref,TL360106,Long,-0.030078,Lat,51.777551,,,,,,,
Station no,949,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.68,1.74,0.98,1.08,2.29,3.54,1.04,2.58,0.89,2.44,,
February,5.27,0.58,1.74,2.24,1.64,0.70,2.44,2.46,0.06,1.59,,
March,3.04,3.09,0.41,2.33,1.22,1.03,0.51,1.03,2.11,1.89,,
April,3.27,1.58,2.53,0.19,0.43,1.16,0.22,1.19,1.74,0.49,,
May,2.45,1.31,1.34,2.08,4.18,0.12,0.68,3.00,0.99,0.61,,
June,1.00,1.26,2.03,3.52,2.63,2.73,1.71,5.39,1.78,2.08,,
July,0.86,0.35,3.37,2.04,1.30,4.99,2.88,3.43,1.91,1.36,,
August,4.14,5.04,2.85,2.78,1.86,5.25,1.47,3.26,0.75,1.88,,
September,3.45,2.56,2.03,1.67,1.60,2.59,1.12,3.92,0.09,1.60,,
October,0.85,2.64,3.15,2.24,3.70,1.89,1.91,2.60,1.74,2.21,,
November,4.15,3.41,1.15,3.62,0.70,0.57,2.01,1.74,2.37,,,
December,1.86,2.57,0.60,1.41,1.79,3.04,2.17,,3.99,,,
Total,33.02,26.13,22.18,25.20,23.34,27.61,18.16,,18.42,,,
Calc annual,33.02,26.13,22.18,25.20,23.34,27.61,18.16,30.60,18.42,16.15,,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,NaN,0.00,NaN,,
