"SUTTON BINGHAM RESERVOIR",,,,,,,,,,,,
Grid ref,ST556114,Long,-2.632756,Lat,50.900359,,,,,,,
Station no,2055/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,3.45,0.87,1.87,3.66,4.54,3.20,3.51,6.28,3.85,,
February,,0.69,1.47,3.26,2.33,0.14,5.58,4.01,0.30,4.35,,
March,,2.96,0.65,4.45,1.67,0.94,2.55,1.13,3.61,1.94,,
April,,2.30,3.38,0.19,0.86,1.23,0.40,0.55,3.07,2.99,,
May,,3.30,2.61,2.06,4.01,0.70,2.02,2.66,1.22,1.20,,
June,,1.70,2.69,3.58,2.93,2.44,1.59,3.73,0.78,1.61,,
July,,0.72,2.94,2.58,3.57,1.92,3.51,1.80,1.72,3.71,,
August,,5.10,1.74,2.80,0.87,4.37,2.71,2.63,1.40,4.92,,
September,,4.09,3.36,3.28,0.87,5.34,3.15,5.03,0.11,4.32,,
October,,4.34,3.59,2.55,-999.00,1.91,2.37,2.88,3.22,10.01,,
November,,4.08,1.76,8.44,4.75,0.89,2.63,2.99,5.77,5.36,,
December,4.30,2.12,0.68,3.56,5.39,5.70,3.31,4.29,9.61,3.99,,
Total,,34.85,25.74,38.62,33.68,30.12,33.02,35.21,37.09,48.25,,
Calc annual,4.30,34.85,25.74,38.62,30.91,30.12,33.02,35.21,37.09,48.25,,
Difference,NaN,0.00,0.00,-0.00,2.77,0.00,0.00,0.00,0.00,0.00,,
