"BRIDPORT (ISLAND VIEW)",,,,,,,,,,,,
Grid ref,SY474936,Long,-2.746795,Lat,50.739615,,,,,,,
Station no,1594,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.75,2.55,0.99,1.88,4.00,4.46,3.69,4.12,5.94,4.01,,
February,5.45,0.89,2.10,3.02,2.83,0.08,4.12,3.98,0.43,3.31,,
March,4.04,3.72,0.60,4.19,1.76,0.85,3.06,1.69,4.20,1.83,,
April,1.78,2.32,3.51,0.23,0.96,0.93,0.27,0.92,2.79,3.02,,
May,2.63,2.46,3.08,1.79,4.16,0.53,1.81,3.17,0.85,1.49,,
June,0.65,1.52,2.32,3.10,3.08,2.56,2.15,3.49,1.26,1.13,,
July,2.60,2.00,3.04,2.89,4.65,2.50,4.32,2.56,1.87,3.29,,
August,5.03,3.99,2.30,3.21,0.57,4.78,2.62,3.14,2.13,5.49,,
September,3.86,5.18,3.79,4.24,2.10,7.30,3.59,6.22,0.04,5.87,,
October,0.97,5.35,3.42,3.06,2.75,1.81,3.08,2.52,3.76,8.77,,
November,8.91,4.65,2.02,6.96,3.78,0.98,2.38,3.66,4.99,5.24,,
December,3.65,3.41,0.85,2.87,5.84,6.29,3.10,5.82,9.00,4.09,,
Total,43.32,38.04,28.02,37.44,36.48,33.07,34.19,41.29,37.26,47.54,,
Calc annual,43.32,38.04,28.02,37.44,36.48,33.07,34.19,41.29,37.26,47.54,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
