"WANTAGE (KINGSTONE LISLE PARK)",,,,,,,,,,,,
Grid ref,SU328884,Long,-1.527903,Lat,51.593499,,,,,,,
Station no,812/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,2.50,,,,,,,
February,,,,,1.73,,,,,,,
March,,,,,1.37,,,,,,,
April,,,,,0.32,,,,,,,
May,,,,,4.87,,,,,,,
June,,,,,3.07,,,,,,,
July,,,,,0.20,,,,,,,
August,,,,,0.19,,,,,,,
September,,,,,0.86,,,,,,,
October,,,,,1.82,,,,,,,
November,,,,5.22,1.73,,,,,,,
December,,,,2.62,3.12,,,,,,,
Total,,,,,21.78,,,,,,,
Calc annual,0.00,0.00,0.00,7.84,21.78,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,0.00,NaN,NaN,NaN,NaN,NaN,,
