"DOVERCOURT",,,,,,,,,,,,
Grid ref,TM242301,Long,1.259231,Lat,51.924248,,,,,,,
Station no,1326/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,1.01,2.50,1.62,2.33,,
February,,,,,,,2.58,2.86,0.09,1.03,,
March,,,,,,,1.12,0.97,0.91,1.82,,
April,,,,,,,0.19,0.97,1.62,0.50,,
May,,,,,,,1.31,2.63,0.25,0.94,,
June,,,,,,,1.08,4.20,0.90,0.70,,
July,,,,,,,3.78,2.13,1.89,3.60,,
August,,,,,,,1.26,2.36,1.42,4.80,,
September,,,,,,,2.61,2.66,0.03,2.44,,
October,,,,,,,1.36,1.76,1.81,5.46,,
November,,,,,,,1.69,0.86,2.36,3.46,,
December,,,,,,,1.99,3.40,3.12,3.26,,
Total,,,,,,,19.98,27.30,16.02,30.34,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,19.98,27.30,16.02,30.34,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,,
