"GLEN ELCHAIG",,,,,,,,,,,,
Grid ref,NG995286,Long,-5.330016,Lat,57.303812,,,,,,,
Station no,5788/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,4.40,6.20,13.40,8.00,2.40,4.00,,
February,,,,,4.30,8.00,2.50,8.40,4.50,6.00,,
March,,,,,1.40,1.80,6.00,1.70,5.50,1.00,,
April,,,,,5.40,4.50,3.60,7.20,4.30,6.50,,
May,,,,,3.50,7.20,1.30,6.70,1.00,2.70,,
June,,,,,5.70,4.00,7.00,2.50,7.30,8.70,,
July,,,,,0.70,6.00,5.70,4.00,8.00,3.50,,
August,,,,,1.20,6.70,10.00,5.50,7.50,5.16,,
September,,,,,12.40,5.50,7.00,3.00,3.60,5.43,,
October,,,,,10.60,9.10,12.00,9.20,10.60,3.14,,
November,,,,,3.40,7.93,4.50,4.00,9.30,7.76,,
December,,,,,10.30,10.00,9.70,2.50,6.80,7.50,,
Total,,,,,63.30,75.93,82.70,62.70,70.80,61.39,,
Calc annual,0.00,0.00,0.00,0.00,63.30,76.93,82.70,62.70,70.80,61.39,,
Difference,NaN,NaN,NaN,NaN,0.00,-1.00,0.00,0.00,0.00,0.00,,
