"DARTMOOR (DOUBLE WATERS)",,,,,,,,,,,,
Grid ref,SX575723,Long,-4.012059,Lat,50.533072,,,,,,,
Station no,1657,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.10,6.95,1.71,3.00,7.37,6.95,8.46,7.95,10.74,7.75,,
February,7.46,1.41,2.59,6.80,4.60,0.35,9.55,7.36,0.41,7.76,,
March,7.30,7.45,1.72,6.33,2.45,2.50,8.40,2.43,8.60,5.00,,
April,3.58,5.80,4.11,0.62,3.17,1.34,0.34,1.63,6.30,5.30,,
May,3.46,3.61,5.75,5.60,6.72,1.53,3.85,6.31,1.69,2.44,,
June,1.99,3.25,4.85,6.00,3.72,4.12,2.26,5.45,2.06,3.30,,
July,2.88,2.23,6.68,8.89,1.25,7.60,8.14,5.45,2.67,7.92,,
August,10.80,7.65,4.67,5.53,0.32,5.50,5.97,9.10,2.20,5.06,,
September,7.54,5.01,7.20,9.00,3.88,10.76,8.05,9.02,0.33,9.36,,
October,1.80,7.64,6.20,8.16,4.00,3.78,6.08,7.30,7.33,10.47,,
November,11.00,5.12,4.99,16.35,7.30,3.66,3.12,6.10,12.84,12.35,,
December,7.02,5.85,1.24,6.92,10.92,10.46,6.10,7.50,15.32,7.08,,
Total,72.93,61.97,51.71,83.20,55.70,58.55,70.32,75.60,70.49,83.79,,
Calc annual,72.93,61.97,51.71,83.20,55.70,58.55,70.32,75.60,70.49,83.79,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,,
