"TILLICOULTRY (THE CEMETERY)",,,,,,,,,,,,
Grid ref,NS925970,Long,-3.732147,Lat,56.153525,,,,,,,
Station no,5460,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.79,2.20,1.27,2.64,2.14,2.76,4.61,2.04,1.21,2.56,,
February,2.63,0.64,0.97,3.01,2.23,1.56,2.27,2.18,1.12,2.42,,
March,2.71,3.33,0.79,3.05,1.79,1.71,3.92,1.03,1.61,1.69,,
April,1.70,1.58,1.78,1.13,1.37,0.47,1.16,1.13,2.57,2.02,,
May,1.52,1.59,1.71,5.56,3.19,1.79,2.38,2.66,1.06,2.28,,
June,2.02,2.61,2.27,2.95,1.63,3.16,1.55,3.11,1.74,1.97,,
July,5.41,2.43,4.65,2.36,1.27,3.62,4.67,3.97,5.11,3.86,,
August,4.47,4.84,2.33,4.72,1.33,5.10,3.28,3.15,0.57,3.72,,
September,3.27,1.75,3.86,4.67,2.68,3.80,1.77,3.71,0.92,2.30,,
October,0.58,2.95,2.04,7.41,2.74,2.49,2.90,2.49,2.25,3.10,,
November,5.00,1.42,4.14,5.76,1.56,0.82,1.97,1.37,5.21,3.80,,
December,4.25,4.14,3.66,4.11,5.75,4.04,4.09,5.19,5.17,2.98,,
Total,38.35,29.48,29.47,47.37,27.68,31.32,34.57,32.03,28.54,32.70,,
Calc annual,38.35,29.48,29.47,47.37,27.68,31.32,34.57,32.03,28.54,32.70,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,
