"LOCH SHIEL (POLLOCH HOUSE)",,,,,,,,,,,,
Grid ref,NM793688,Long,-5.612152,Lat,56.758386,,,,,,,
Station no,5394,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,11.18,7.06,8.55,10.30,4.78,7.07,12.96,12.78,4.07,4.20,,
February,6.14,3.89,6.80,5.75,4.94,5.46,5.90,5.95,3.34,5.17,,
March,4.01,6.53,3.20,6.56,2.02,3.38,6.86,0.96,8.13,1.84,,
April,5.42,,5.42,2.48,9.59,3.41,3.86,4.15,6.09,7.06,,
May,1.34,,5.15,4.47,3.70,5.31,2.43,6.46,1.97,3.57,,
June,3.56,5.96,1.56,,5.62,5.74,5.72,2.65,5.93,,,
July,7.47,5.16,7.72,,1.35,8.73,7.20,2.38,9.49,,,
August,6.14,5.70,9.31,6.08,2.76,6.67,8.45,6.05,4.91,,,
September,7.06,5.70,9.21,10.69,10.57,7.21,6.12,6.83,3.98,,,
October,4.12,9.84,7.55,9.96,9.63,6.08,11.89,12.09,12.22,,,
November,9.92,4.41,14.85,11.95,4.98,11.03,5.45,3.83,16.28,,,
December,14.20,10.47,9.11,12.06,10.16,16.24,9.65,7.14,13.70,,,
Total,80.56,,88.43,,70.10,86.33,86.49,71.27,90.18,,,
Calc annual,80.56,64.72,88.43,80.30,70.10,86.33,86.49,71.27,90.11,21.84,,
Difference,0.00,NaN,0.00,NaN,0.00,0.00,0.00,0.00,0.07,NaN,,
