"HORNDON (EASTERN SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,TQ606867,Long,0.315233,Lat,51.556325,,,,,,,
Station no,1259,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.60,1.36,0.90,1.18,2.23,3.31,0.97,1.39,1.85,1.66,,
February,4.70,0.83,1.42,2.04,1.32,0.28,2.68,2.55,0.05,1.51,,
March,2.52,2.93,0.41,1.73,1.02,0.99,1.31,0.96,1.24,0.95,,
April,2.48,0.64,2.11,0.36,0.15,1.24,0.19,1.70,1.88,0.41,,
May,2.10,1.17,1.29,1.51,4.05,0.44,1.07,2.08,0.92,2.03,,
June,0.89,2.59,1.57,2.68,3.43,1.63,1.00,4.57,0.95,1.43,,
July,2.07,0.73,2.82,2.31,0.08,3.47,3.95,2.29,1.97,2.75,,
August,2.38,1.61,1.36,3.10,0.53,2.58,1.74,4.10,0.95,3.02,,
September,2.83,3.25,2.11,1.49,3.18,1.67,2.09,6.04,0.07,4.55,,
October,0.58,2.13,2.67,1.51,3.68,1.19,1.46,2.56,1.95,5.13,,
November,3.56,4.06,0.51,2.77,0.57,0.54,2.37,1.75,3.04,3.34,,
December,1.77,1.91,0.59,1.31,1.50,2.36,1.57,2.96,3.20,2.17,,
Total,27.48,23.21,17.76,21.99,21.74,19.70,20.40,32.95,18.07,28.95,,
Calc annual,27.48,23.21,17.76,21.99,21.74,19.70,20.40,32.95,18.07,28.95,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
