"COLERAINE (CARTHALL FILTER HO)",,,,,,,,,,,,
Grid ref,IC829324,Long,-6.700898,Lat,55.132087,,,,,,,
Station no,6239/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,3.74,2.98,3.83,,
February,,,,,,,,4.65,0.80,3.67,,
March,,,,,,,,1.27,2.39,1.21,,
April,,,,,,,,2.13,4.11,2.07,,
May,,,,,,,,2.20,1.03,1.37,,
June,,,,,,,,4.44,2.15,2.28,,
July,,,,,,,6.34,4.22,3.83,6.76,,
August,,,,,,,2.80,5.00,0.86,8.18,,
September,,,,,,,4.96,2.74,1.08,2.44,,
October,,,,,,,3.19,3.21,4.65,4.15,,
November,,,,,,,1.63,1.79,4.10,2.75,,
December,,,,,,,4.90,3.67,4.37,4.26,,
Total,,,,,,,,39.06,32.35,42.97,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,23.82,39.06,32.35,42.97,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
