"REDCAR",,,,,,,,,,,,
Grid ref,NZ599249,Long,-1.073976,Lat,54.615710,,,,,,,
Station no,3479/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.59,1.97,0.85,3.02,1.78,2.77,1.34,1.11,3.09,4.46,,
February,2.15,0.66,1.60,1.51,1.68,1.56,1.50,3.13,0.54,1.64,,
March,3.71,1.08,0.13,1.60,1.68,0.48,0.86,3.73,0.36,1.10,,
April,1.35,1.36,1.66,0.20,0.95,0.91,0.48,1.77,1.29,0.39,,
May,4.61,1.01,1.26,2.01,1.39,0.38,0.84,2.73,0.36,0.99,,
June,1.40,1.45,2.07,2.01,2.46,3.13,2.51,2.80,2.07,0.29,,
July,1.82,1.45,2.13,1.21,1.14,2.62,3.45,2.26,2.90,5.62,,
August,5.74,1.55,2.48,4.04,0.77,6.73,2.96,1.49,0.17,2.29,,
September,0.86,4.51,1.10,1.23,1.00,1.64,3.27,1.39,1.16,2.35,,
October,1.41,2.20,1.53,3.38,1.61,1.24,1.74,0.90,1.24,6.04,,
November,3.96,3.34,1.25,3.33,1.40,1.58,1.75,0.85,3.51,2.93,,
December,3.16,2.17,0.86,2.20,2.42,1.33,1.17,2.40,2.85,2.49,,
Total,31.76,22.75,16.92,25.74,18.28,24.37,21.87,24.56,19.54,30.59,,
Calc annual,31.76,22.75,16.92,25.74,18.28,24.37,21.87,24.56,19.54,30.59,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
