"PENTLAND HILLS (LOGANLEA)",,,,,,,,,,,,
Grid ref,NT199626,Long,-3.280936,Lat,55.849925,,,,,,,
Station no,5120,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.35,3.35,0.66,3.89,2.22,2.08,5.18,2.42,1.35,3.82,,
February,3.02,0.46,1.18,2.28,2.01,2.76,3.33,2.98,0.76,2.95,,
March,3.93,1.52,0.74,2.13,1.78,1.53,2.35,1.99,0.90,1.66,,
April,4.13,1.75,3.59,1.32,1.00,0.82,1.12,2.43,2.43,1.52,,
May,3.34,1.79,2.20,5.27,2.81,1.61,1.95,2.98,0.88,0.95,,
June,2.30,2.93,1.82,2.77,0.92,2.82,2.23,3.80,2.11,1.49,,
July,3.23,2.49,4.76,2.22,2.61,5.74,5.53,6.50,3.49,3.18,,
August,6.51,3.68,2.05,6.58,1.41,8.04,5.50,4.09,0.63,4.03,,
September,1.68,2.94,3.23,3.66,1.86,4.13,2.42,4.53,0.63,1.88,,
October,0.75,1.92,1.69,6.90,1.97,2.24,3.32,1.89,3.02,3.50,,
November,6.01,3.10,5.11,4.62,1.04,1.07,2.11,1.32,6.39,3.69,,
December,3.87,4.73,4.05,4.93,8.04,4.43,4.23,5.37,4.21,4.46,,
Total,43.12,30.66,31.08,46.57,27.67,37.27,39.27,40.30,26.80,33.13,,
Calc annual,43.12,30.66,31.08,46.57,27.67,37.27,39.27,40.30,26.80,33.13,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
