"WELWYN GARDEN CITY (SEWAGE WORKS) NO 2",,,,,,,,,,,,
Grid ref,TL252136,Long,-0.185454,Lat,51.807028,,,,,,,
Station no,953,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.05,1.77,0.96,1.04,1.97,4.05,1.06,2.24,,,,
February,4.18,0.66,1.88,2.07,1.74,0.52,2.71,2.25,,,,
March,3.18,2.33,0.42,1.91,1.21,0.87,1.12,1.24,,,,
April,3.01,1.75,2.51,0.33,0.53,1.32,0.20,1.30,,,,
May,2.69,1.66,1.45,2.00,4.06,0.65,0.90,2.05,,,,
June,1.77,1.12,1.61,3.22,2.40,3.24,1.80,2.14,,,,
July,0.91,0.56,3.08,2.97,0.10,2.21,2.34,,,,,
August,3.58,4.39,1.92,3.54,1.27,5.28,1.62,,,,,
September,2.65,2.93,1.68,1.33,1.40,2.28,2.77,,,,,
October,0.91,2.71,3.07,1.77,3.46,2.30,1.83,,,,,
November,4.92,3.70,1.33,4.14,1.62,0.63,2.03,,,,,
December,1.88,2.54,0.52,1.56,1.98,3.64,2.13,,,,,
Total,32.73,26.12,20.43,25.88,21.74,26.99,20.51,,,,,
Calc annual,32.73,26.12,20.43,25.88,21.74,26.99,20.51,11.22,0.00,0.00,,
Difference,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,NaN,NaN,NaN,,
