"STANDEDGE (REDBROOK RES)",,,,,,,,,,,,
Grid ref,SE026102,Long,-1.962196,Lat,53.588377,,,,,,,
Station no,3189/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.35,4.99,1.57,4.98,3.71,7.18,3.78,5.73,5.52,5.97,,
February,3.08,2.16,2.74,4.17,2.18,1.68,3.90,6.91,0.68,3.04,,
March,5.70,3.41,3.10,3.28,2.72,1.98,4.70,4.01,2.55,1.38,,
April,3.69,4.94,3.56,1.01,2.50,3.66,0.78,1.78,6.05,2.72,,
May,3.36,2.10,2.92,4.34,5.38,2.44,1.42,5.25,2.66,2.49,,
June,1.34,4.67,3.98,4.62,4.53,4.19,2.93,7.01,3.05,1.96,,
July,4.48,3.54,9.18,6.93,1.45,9.97,5.44,5.90,5.02,7.52,,
August,7.30,5.13,6.58,7.66,0.99,15.41,7.05,5.89,0.70,8.43,,
September,3.99,5.03,4.04,7.10,3.46,5.67,8.36,6.83,0.53,3.40,,
October,1.57,6.16,1.98,9.46,3.29,4.34,7.67,5.60,5.57,6.05,,
November,11.14,3.26,6.22,7.42,2.70,2.34,3.72,1.77,5.59,6.90,,
December,8.62,4.65,2.18,8.30,7.32,5.29,5.68,5.67,8.01,4.36,,
Total,59.62,50.04,48.05,69.27,40.23,64.15,55.43,62.35,45.93,54.22,,
Calc annual,59.62,50.04,48.05,69.27,40.23,64.15,55.43,62.35,45.93,54.22,,
Difference,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
