"GLEN ROY (BRAEROY LODGE)",,,,,,,,,,,,
Grid ref,NN335914,Long,-4.741609,Lat,56.983700,,,,,,,
Station no,5740/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,10.27,6.31,4.61,5.98,,
February,,,,,,,4.82,4.66,4.75,6.43,,
March,,,,,,,7.24,3.12,4.41,,,
April,,,,,,,2.52,5.59,5.08,,,
May,,,,,,,1.58,8.39,1.83,,,
June,,,,,,,3.25,2.95,5.92,,,
July,,,,,,,8.44,4.20,5.82,,,
August,,,,,,,6.73,7.02,4.64,,,
September,,,,,,,3.79,3.71,1.76,,,
October,,,,,,,7.97,6.10,9.60,,,
November,,,,,,,3.45,1.12,8.65,,,
December,,,,,,,11.44,5.57,10.89,,,
Total,,,,,,,71.50,58.74,67.96,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,71.50,58.74,67.96,12.41,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,NaN,,
