"TONGLAND (POWER STATION)",,,,,,,,,,,,
Grid ref,NX694535,Long,-4.036121,Lat,54.859190,,,,,,,
Station no,5014/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.92,5.33,2.82,,,,,,,,,
February,2.78,1.38,1.61,,,,,,,,,
March,4.48,2.84,0.74,,,,,,,,,
April,2.25,2.50,3.63,,,,,,,,,
May,2.32,2.70,2.85,,,,,,,,,
June,1.03,3.72,2.05,,,,,,,,,
July,3.16,3.20,6.72,,,,,,,,,
August,6.58,6.35,3.28,,,,,,,,,
September,5.48,2.99,6.06,,,,,,,,,
October,0.54,6.09,4.33,,,,,,,,,
November,9.40,2.85,7.27,,,,,,,,,
December,7.62,4.92,3.84,,,,,,,,,
Total,51.56,44.87,45.20,,,,,,,,,
Calc annual,51.56,44.87,45.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
