"SHOTTON (NEW WINNING PS)",,,,,,,,,,,,
Grid ref,NZ407383,Long,-1.369397,Lat,54.738031,,,,,,,
Station no,3530,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.38,2.49,1.00,2.57,1.84,3.37,1.82,1.63,3.08,4.91,,
February,2.78,0.58,1.78,2.21,2.44,1.97,2.51,4.34,0.58,2.89,,
March,4.25,1.74,0.09,1.39,1.60,0.82,1.18,3.46,0.93,2.15,,
April,1.33,1.46,2.57,0.36,0.84,0.89,0.42,1.77,1.82,0.81,,
May,5.29,1.69,2.17,2.66,1.44,0.56,1.48,3.38,0.41,1.81,,
June,1.10,0.63,2.83,1.73,2.85,3.74,2.02,3.24,1.63,0.31,,
July,1.53,0.99,2.84,2.15,1.40,3.01,3.67,2.76,1.74,4.68,,
August,5.26,2.37,3.93,5.90,0.82,7.37,3.62,2.56,0.24,3.00,,
September,1.01,5.47,1.25,1.95,1.22,2.32,3.66,1.61,0.99,2.00,,
October,1.66,2.89,1.38,4.55,1.29,1.47,1.79,1.64,1.26,8.77,,
November,5.85,3.59,1.45,4.16,1.99,1.07,1.99,0.71,3.68,3.23,,
December,3.33,2.42,0.96,2.15,3.11,2.18,1.18,3.82,3.66,2.63,,
Total,34.77,26.32,22.25,31.78,20.84,28.77,25.34,30.92,20.02,37.19,,
Calc annual,34.77,26.32,22.25,31.78,20.84,28.77,25.34,30.92,20.02,37.19,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
