"GARSTON DEPOT",,,,,,,,,,,,
Grid ref,SJ395853,Long,-2.910550,Lat,53.361096,,,,,,,
Station no,2810,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.22,3.27,1.22,2.85,1.90,3.62,1.44,2.35,3.13,4.96,,
February,2.39,1.24,1.14,2.41,1.79,0.36,1.86,4.43,0.26,1.68,,
March,4.73,1.68,1.04,2.03,1.73,1.41,2.17,1.39,1.34,1.41,,
April,1.35,1.83,2.17,0.88,1.76,2.60,0.53,0.88,2.94,1.28,,
May,2.93,1.75,2.09,2.42,2.48,0.99,1.30,2.95,2.03,1.96,,
June,1.28,1.98,1.44,3.20,3.23,2.69,1.89,4.37,2.55,1.28,,
July,1.53,1.76,3.33,3.89,0.66,4.79,3.87,4.02,3.99,3.92,,
August,4.18,1.69,3.24,3.64,0.98,8.97,3.04,3.40,1.15,4.53,,
September,2.54,4.03,2.77,2.60,2.53,2.43,6.51,4.33,0.17,3.60,,
October,0.92,3.94,1.45,6.23,2.00,3.05,2.73,3.19,2.98,3.81,,
November,7.05,2.82,2.55,5.02,1.56,1.58,1.23,1.88,4.22,5.26,,
December,4.47,3.33,1.39,3.83,3.54,2.01,2.99,3.86,4.51,3.00,,
Total,35.59,29.32,23.83,39.00,24.16,34.50,29.56,37.05,29.27,36.69,,
Calc annual,35.59,29.32,23.83,39.00,24.16,34.50,29.56,37.05,29.27,36.69,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,,
