"SKIRLAUGH",,,,,,,,,,,,
Grid ref,TA139397,Long,-0.270425,Lat,53.841069,,,,,,,
Station no,3398/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,2.62,,,
February,,,,,,,,4.62,0.33,,,
March,,,,,,,,1.95,1.43,,,
April,,,,,,,,1.04,,,,
May,,,,,,,,1.91,,,,
June,,,,,,,,3.74,,,,
July,,,,,,,,2.88,,,,
August,,,,,,,,2.23,,,,
September,,,,,,,,2.15,,,,
October,,,,,,,,1.75,,,,
November,,,,,,,,0.84,,,,
December,,,,,,,,2.97,,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.08,4.38,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
