"PITSFORD RESERVOIR",,,,,,,,,,,,
Grid ref,SP758687,Long,-0.889569,Lat,52.311189,,,,,,,
Station no,1121/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,3.36,3.40,,
February,,,,,,,,,0.04,1.45,,
March,,,,,,,,,2.75,1.97,,
April,,,,,,,,,1.90,0.51,,
May,,,,,,,,,0.29,1.13,,
June,,,,,,,,,0.57,3.28,,
July,,,,,,,,,1.57,2.46,,
August,,,,,,,,,0.63,3.33,,
September,,,,,,,,,0.03,3.68,,
October,,,,,,,,,1.80,5.49,,
November,,,,,,,,1.63,1.80,3.15,,
December,,,,,,,,2.37,3.88,2.68,,
Total,,,,,,,,,18.62,32.53,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,18.62,32.53,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
