"ACURRACH",,,,,,,,,,,,
Grid ref,NN113203,Long,-5.054302,Lat,56.337350,,,,,,,
Station no,5407/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,10.41,4.98,,,,7.58,14.67,,,,,
February,5.11,3.60,,,,3.86,5.31,,,,,
March,4.81,7.82,,,,4.53,10.61,,,,,
April,6.82,3.96,,,,4.58,4.15,,,,,
May,1.32,1.87,,,,7.57,2.22,,,,,
June,2.85,5.59,,,,6.64,4.98,,,,,
July,6.55,4.47,,,,6.90,7.19,,,,,
August,6.69,5.71,,,,6.11,7.17,,,,,
September,7.21,4.73,,,,6.28,5.28,,,,,
October,3.20,12.17,,,7.97,6.54,9.94,,,,,
November,8.74,4.73,,,4.66,6.56,4.55,,,,,
December,8.03,8.74,,,14.60,14.68,6.62,,,,,
Total,71.74,68.37,,,,81.83,82.69,,,,,
Calc annual,71.74,68.37,0.00,0.00,27.23,81.83,82.69,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,0.00,0.00,NaN,NaN,NaN,,
