"RUTHWELL (COMLONGAN CASTLE)",,,,,,,,,,,,
Grid ref,NY078691,Long,-3.443159,Lat,55.007888,,,,,,,
Station no,5026,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.94,3.14,1.19,3.19,3.31,3.43,5.38,4.57,1.80,4.48,,
February,2.47,0.47,1.05,3.36,2.34,0.73,3.55,3.46,0.86,4.86,,
March,3.18,2.28,0.49,3.03,2.58,1.24,2.95,1.48,2.93,1.44,,
April,2.10,2.71,2.84,0.94,1.72,0.80,1.11,1.09,2.61,2.89,,
May,2.48,3.22,2.48,3.72,2.70,1.62,2.74,3.41,1.39,1.59,,
June,1.69,3.06,0.91,3.41,3.11,2.23,0.91,3.59,3.43,1.78,,
July,2.61,2.53,6.20,3.76,2.39,5.52,4.11,4.08,3.34,3.73,,
August,4.53,5.36,2.86,5.51,1.99,8.14,3.48,3.78,0.50,3.66,,
September,5.08,1.85,3.81,5.60,2.91,3.08,3.83,6.77,1.86,3.67,,
October,0.34,4.46,2.70,8.24,2.30,2.54,3.96,3.59,4.16,3.21,,
November,6.82,2.11,6.14,7.88,1.73,1.18,2.03,1.51,5.22,6.62,,
December,5.69,3.08,2.60,3.89,4.97,3.67,2.81,3.60,6.04,2.87,,
Total,42.93,34.27,33.27,52.53,32.05,34.18,36.86,40.93,34.14,40.80,,
Calc annual,42.93,34.27,33.27,52.53,32.05,34.18,36.86,40.93,34.14,40.80,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
