"GLENDEVON (BALD HILL)",,,,,,,,,,,,
Grid ref,NN926035,Long,-3.733167,Lat,56.211920,,,,,,,
Station no,5532,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.30,2.44,2.53,4.35,3.06,3.78,7.30,,,,,
February,4.62,1.32,2.75,4.63,1.40,2.88,5.38,,,,,
March,3.45,5.55,2.49,5.72,1.58,1.18,5.32,,,,,
April,5.15,3.10,3.55,1.91,3.68,1.42,3.06,,,,,
May,2.08,1.97,4.33,6.93,5.25,3.79,2.98,,,,,
June,4.05,5.55,2.63,3.42,2.47,5.65,2.23,,,,,
July,5.60,3.45,7.54,3.30,-999.00,4.77,5.63,,,,,
August,8.15,5.35,3.68,4.76,2.00,6.09,5.28,,,,,
September,5.15,4.21,6.73,7.79,3.82,5.02,3.28,,,,,
October,1.35,5.58,4.68,11.12,5.57,4.10,5.82,,,,,
November,9.35,2.46,9.05,11.89,2.15,1.29,3.62,,,,,
December,10.45,5.72,7.25,9.89,9.00,6.55,10.61,,,,,
Total,64.70,46.70,57.21,75.71,41.72,46.52,60.51,,,,,
Calc annual,64.70,46.70,57.21,75.71,39.98,46.52,60.51,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,1.74,0.00,0.00,NaN,NaN,NaN,,
