"BALQUHIDDER (TULLOCH LODGE)",,,,,,,,,,,,
Grid ref,NN532208,Long,-4.377494,Lat,56.356687,,,,,,,
Station no,5526/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,3.90,6.42,,
February,,,,,,,,,2.74,7.40,,
March,,,,,,,,,6.44,3.14,,
April,,,,,,,,,5.29,8.98,,
May,,,,,,,,,2.10,4.31,,
June,,,,,,,,,3.65,2.96,,
July,,,,,,,,,5.83,4.88,,
August,,,,,,,,,2.94,5.76,,
September,,,,,,,,,1.62,3.89,,
October,,,,,,,,,7.90,6.32,,
November,,,,,,,,,11.27,9.75,,
December,,,,,,,,10.93,13.31,8.64,,
Total,,,,,,,,,66.99,72.45,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.93,66.99,72.45,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
