"NORTH HARRIS (AMHUINSUIDH CASTLE)",,,,,,,,,,,,
Grid ref,NB049078,Long,-6.991367,Lat,57.961289,,,,,,,
Station no,5766,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.06,7.48,,,,,,,,,,
February,4.46,4.24,,,,,,,,,,
March,3.65,4.65,,,,,,,,,,
April,4.41,2.08,,,,,,,,,,
May,0.87,-999.00,,,,,,,,,,
June,3.61,5.31,,,,,,,,,,
July,6.81,-999.00,,,,,,,,,,
August,5.43,4.75,,,,,,,,,,
September,4.14,-999.00,,,,,,,,,,
October,6.50,,,,,,,,,,,
November,5.50,,,,,,,,,,,
December,8.21,-999.00,,,,,,,,,,
Total,61.65,-999.00,,,,,,,,,,
Calc annual,61.65,28.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-1027.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
