"EGTON BRIDGE (BRIDGEHOLME)",,,,,,,,,,,,
Grid ref,NZ803052,Long,-0.763517,Lat,54.435883,,,,,,,
Station no,3469,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.24,3.82,1.42,,,,,,,,,
February,3.33,0.86,2.46,,,,,,,,,
March,4.53,2.14,0.42,,,,,,,,,
April,2.66,1.16,3.33,,,,,,,,,
May,6.60,1.75,1.90,,,,,,,,,
June,1.56,1.05,3.74,,,,,,,,,
July,1.55,2.45,2.44,,,,,,,,,
August,6.24,2.79,2.64,,,,,,,,,
September,1.37,6.68,1.08,,,,,,,,,
October,1.84,3.98,2.62,,,,,,,,,
November,7.81,5.47,2.36,,,,,,,,,
December,3.28,3.24,1.32,,,,,,,,,
Total,43.01,35.39,25.73,,,,,,,,,
Calc annual,43.01,35.39,25.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
