"LOCH QUOICH (KINLOCHQUOICH)",,,,,,,,,,,,
Grid ref,NG961007,Long,-5.363516,Lat,57.052116,,,,,,,
Station no,5709/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,8.63,11.85,25.20,14.00,6.12,8.29,,
February,,,,,6.19,10.08,9.20,9.94,13.10,7.32,,
March,,,,8.32,2.63,6.00,13.00,6.70,11.10,4.95,,
April,,,,4.82,8.56,10.25,5.30,9.00,8.86,14.45,,
May,,,,5.19,6.41,13.60,3.13,11.00,3.56,4.24,,
June,,,,9.98,7.40,6.80,7.57,2.50,12.75,7.21,,
July,,,,10.10,1.96,9.90,10.56,4.00,14.10,6.46,,
August,,,,10.48,3.69,8.00,13.25,7.40,13.12,7.63,,
September,,,,16.77,18.01,10.30,16.06,7.61,5.49,8.53,,
October,,,,23.08,19.45,17.80,24.05,17.00,18.22,1.77,,
November,,,,17.72,9.11,22.75,7.51,3.64,13.51,12.00,,
December,,,,30.88,23.41,25.60,26.00,10.63,15.73,15.49,,
Total,,,,,115.45,152.93,160.83,103.42,135.66,98.34,,
Calc annual,0.00,0.00,0.00,137.34,115.45,152.93,160.83,103.42,135.66,98.34,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,,
