"LOCH SLOY ( BEINN CHORRANACH )",,,,,,,,,,,,
Grid ref,NN264104,Long,-4.803848,Lat,56.254290,,,,,,,
Station no,5428/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,14.09,9.00,13.37,-999.00,9.16,9.42,16.01,17.23,4.83,9.43,,
February,7.30,10.65,9.31,12.22,6.13,4.84,10.93,5.67,6.35,14.20,,
March,8.34,9.35,4.22,12.33,2.35,7.24,13.42,3.50,14.48,5.23,,
April,10.38,6.95,8.43,6.37,10.35,4.61,5.85,8.19,11.28,13.96,,
May,3.19,4.15,7.20,7.26,8.26,9.03,5.61,8.66,4.55,6.92,,
June,5.86,9.89,2.42,11.26,8.00,10.39,6.41,3.92,7.94,8.38,,
July,8.43,9.27,13.28,9.04,1.55,11.14,12.55,5.22,16.07,11.68,,
August,11.65,12.33,10.99,12.35,3.03,10.03,12.85,9.15,11.11,6.42,,
September,11.82,7.68,20.08,20.84,13.67,12.07,9.92,11.85,3.75,5.81,,
October,5.20,15.19,13.24,21.23,12.99,9.38,14.18,12.93,14.36,8.08,,
November,18.15,4.08,26.75,27.54,7.77,10.21,7.00,3.06,14.93,17.84,,
December,21.32,13.14,15.53,28.12,22.40,25.89,12.01,13.65,22.25,14.13,,
Total,125.73,111.68,144.82,182.56,105.66,124.25,126.74,103.03,131.90,122.08,,
Calc annual,125.73,111.68,144.82,168.56,105.66,124.25,126.74,103.03,131.90,122.08,,
Difference,0.00,0.00,0.00,14.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
