"GLASGOW (VICTORIA PARK)",,,,,,,,,,,,
Grid ref,NS543673,Long,-4.330478,Lat,55.876758,,,,,,,
Station no,5179,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.05,4.79,1.02,5.00,2.85,2.62,5.57,3.76,1.39,3.37,,
February,2.63,1.40,1.39,3.88,2.22,1.11,2.80,2.63,1.35,3.43,,
March,2.73,2.42,0.85,2.23,1.74,1.84,3.88,0.98,1.61,2.02,,
April,1.97,2.05,1.77,1.59,1.54,0.95,2.03,1.11,2.89,3.31,,
May,1.91,2.25,2.42,3.60,3.16,1.65,2.43,3.29,1.04,2.79,,
June,2.55,2.46,2.73,2.70,2.00,2.59,2.20,2.98,2.79,2.37,,
July,3.64,2.62,4.16,2.65,1.22,4.65,3.43,4.72,4.35,3.63,,
August,4.28,3.02,3.43,5.55,0.96,4.41,3.73,5.04,0.47,3.89,,
September,3.10,2.71,3.48,4.71,3.40,5.42,2.54,3.35,1.05,2.51,,
October,0.96,4.19,2.24,9.13,2.52,2.82,3.87,3.43,4.38,3.37,,
November,5.84,2.03,5.64,6.05,2.09,1.39,1.46,1.82,4.75,4.66,,
December,5.50,3.47,4.65,4.32,6.06,4.44,4.10,4.75,6.39,4.43,,
Total,40.16,33.41,33.78,51.41,29.76,33.89,38.04,37.86,32.46,39.78,,
Calc annual,40.16,33.41,33.78,51.41,29.76,33.89,38.04,37.86,32.46,39.78,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
