"BECCLES (RIGBOURNE HILL)",,,,,,,,,,,,
Grid ref,TM428893,Long,1.571559,Lat,52.447665,,,,,,,
Station no,1376/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,2.18,,,,
February,,,,,,,,3.21,,,,
March,,,,,,,,1.53,,,,
April,,,,,,,,1.16,,,,
May,,,,,,,1.02,3.12,,,,
June,,,,,,,4.05,3.08,,,,
July,,,,,,,3.12,,,,,
August,,,,,,,2.48,,,,,
September,,,,,,,3.66,,,,,
October,,,,,,,1.48,,,,,
November,,,,,,,2.46,,,,,
December,,,,,,,2.11,,,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,20.38,14.28,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
