"CHRISTCHURCH (HARROW LODGE)",,,,,,,,,,,,
Grid ref,SZ197971,Long,-1.721986,Lat,50.773151,,,,,,,
Station no,621,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.77,2.27,1.03,1.48,3.68,5.02,3.23,4.53,3.60,,,
February,6.63,0.59,1.53,3.20,2.13,0.19,4.20,3.04,0.32,,,
March,4.39,3.45,0.54,4.37,1.16,0.71,2.68,2.02,3.64,,,
April,3.19,2.09,2.12,0.19,0.58,1.83,0.20,0.62,2.75,,,
May,3.04,2.72,2.31,2.43,4.23,0.58,1.57,2.51,0.88,,,
June,0.73,1.26,2.06,2.68,3.58,2.23,1.69,3.94,1.07,,,
July,2.11,0.19,3.61,3.15,2.29,2.27,3.34,1.88,2.55,,,
August,4.85,3.76,1.70,3.82,0.50,3.95,2.77,4.11,2.16,,,
September,3.33,4.72,3.78,2.85,1.52,5.17,3.45,5.35,0.36,,,
October,1.40,4.72,3.09,3.67,5.16,1.46,2.47,4.01,3.76,,,
November,9.94,4.55,1.83,6.34,3.23,0.83,2.81,3.11,4.39,,,
December,3.03,3.54,0.76,2.82,5.82,5.95,2.56,4.44,7.83,,,
Total,46.41,33.86,24.36,37.00,33.88,30.19,30.97,39.56,33.31,,,
Calc annual,46.41,33.86,24.36,37.00,33.88,30.19,30.97,39.56,33.31,0.00,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
