"BURTON BRADSTOCK (WHITE HOUSE)",,,,,,,,,,,,
Grid ref,SY488896,Long,-2.726400,Lat,50.703773,,,,,,,
Station no,1574/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.54,2.15,0.92,1.67,3.05,4.22,2.62,3.02,4.97,3.49,,
February,5.03,0.96,1.83,2.91,2.11,0.15,4.15,3.13,0.42,3.09,,
March,3.89,3.23,0.65,4.22,1.60,0.81,2.71,1.59,4.15,2.50,,
April,1.77,1.98,2.83,0.25,0.99,0.84,0.17,0.76,2.58,2.83,,
May,2.86,2.64,2.54,1.70,3.44,0.56,1.41,2.89,0.71,1.40,,
June,0.63,1.25,2.17,3.04,2.88,2.31,2.09,3.60,0.97,1.43,,
July,2.01,1.00,2.80,3.25,4.95,2.74,3.37,2.19,1.87,2.92,,
August,4.71,3.49,1.98,3.27,0.71,3.50,2.02,3.17,1.90,5.00,,
September,3.61,3.85,3.82,3.16,1.61,6.30,2.81,5.37,0.10,6.76,,
October,0.64,4.30,3.57,2.59,2.71,2.37,2.45,2.76,3.27,8.71,,
November,8.72,4.11,1.52,6.35,3.09,0.74,2.46,2.92,4.46,5.11,,
December,3.09,3.15,0.92,2.82,5.49,5.63,2.71,5.76,7.40,4.20,,
Total,40.50,32.11,25.55,35.23,32.63,30.17,28.97,37.16,-999.00,47.44,,
Calc annual,40.50,32.11,25.55,35.23,32.63,30.17,28.97,37.16,32.80,47.44,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-1031.80,-0.00,,
