"BALDERSDALE HURY RESERVOIR",,,,,,,,,,,,
Grid ref,NY966192,Long,-2.054100,Lat,54.568012,,,,,,,
Station no,3493,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.26,3.37,0.99,3.71,2.59,4.06,4.65,2.88,2.59,5.48,,
February,3.71,0.81,1.49,1.93,1.59,2.23,3.06,6.32,0.56,2.64,,
March,3.70,1.61,0.70,1.89,1.99,2.36,2.00,2.68,1.52,2.31,,
April,3.10,1.60,3.08,0.73,0.88,1.03,0.46,1.45,3.00,2.33,,
May,2.91,2.05,2.61,4.99,2.89,1.10,2.05,4.68,0.37,1.98,,
June,0.88,1.49,2.31,2.67,2.23,2.44,1.31,3.56,1.74,1.17,,
July,1.05,1.33,3.16,2.32,1.16,3.46,4.59,3.02,2.16,4.54,,
August,3.30,3.73,5.21,5.20,1.45,7.66,5.90,4.18,0.82,2.82,,
September,1.92,3.60,2.72,5.26,2.05,4.45,3.82,4.24,1.25,2.91,,
October,0.92,3.65,1.67,7.19,2.29,2.83,3.75,2.54,3.19,6.72,,
November,8.80,2.34,3.52,6.90,2.03,1.41,2.03,0.85,5.04,5.81,,
December,8.20,2.92,1.63,4.67,7.35,5.29,4.30,4.88,6.70,5.17,,
Total,41.75,28.50,29.09,47.46,28.50,38.32,37.92,41.28,28.94,43.88,,
Calc annual,41.75,28.50,29.09,47.46,28.50,38.32,37.92,41.28,28.94,43.88,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
