"HILDENBOROUGH (GAILES)",,,,,,,,,,,,
Grid ref,TQ572488,Long,0.249466,Lat,51.216764,,,,,,,
Station no,347,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.02,2.48,1.17,1.50,3.84,4.66,2.01,2.69,2.67,3.57,,
February,6.55,1.21,1.24,2.49,2.17,0.73,4.28,2.37,0.15,2.19,,
March,3.99,3.50,0.44,2.91,1.45,1.03,0.96,1.41,1.81,1.59,,
April,2.50,1.95,2.66,0.37,0.28,1.49,0.19,1.55,2.08,0.68,,
May,1.55,1.20,1.32,2.16,4.09,0.35,1.69,1.90,1.59,1.94,,
June,1.78,1.43,1.94,2.83,2.11,2.85,1.57,4.24,0.99,1.83,,
July,2.59,0.66,2.79,3.17,0.94,4.21,4.22,1.20,2.66,3.47,,
August,5.27,3.10,1.97,3.14,1.21,3.39,1.79,3.83,0.90,4.55,,
September,3.75,3.31,3.80,2.09,2.48,2.76,3.36,3.96,0.19,2.45,,
October,1.27,2.77,3.28,2.34,5.10,1.41,1.09,2.84,3.19,6.35,,
November,5.23,4.96,1.47,5.12,0.85,0.94,3.90,1.43,3.73,4.86,,
December,2.95,2.87,0.87,2.04,2.43,3.38,2.16,3.86,4.64,3.41,,
Total,40.45,29.44,22.95,30.16,26.95,27.20,27.22,31.28,24.60,36.89,,
Calc annual,40.45,29.44,22.95,30.16,26.95,27.20,27.22,31.28,24.60,36.89,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
