"WINSCOMBE (BORE HOLE)",,,,,,,,,,,,
Grid ref,ST407577,Long,-2.852243,Lat,51.315305,,,,,,,
Station no,2027/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.72,3.13,0.67,2.50,4.36,3.36,3.73,2.37,3.40,3.36,,
February,4.38,0.49,1.76,3.31,2.30,0.59,3.31,3.84,0.25,2.17,,
March,4.00,3.67,0.75,2.98,1.30,0.97,2.51,1.17,4.01,1.77,,
April,3.65,1.52,3.96,0.50,-999.00,1.46,0.11,0.99,2.09,2.61,,
May,2.71,4.38,1.91,2.09,3.66,1.55,0.77,3.44,1.97,1.13,,
June,0.79,3.21,2.17,3.24,3.50,2.71,2.09,3.14,1.27,2.74,,
July,2.02,0.69,5.10,3.92,0.16,2.27,4.84,4.76,1.71,5.89,,
August,5.57,4.86,4.85,3.35,0.43,3.97,4.92,2.59,2.72,5.75,,
September,2.48,3.67,3.59,5.45,2.98,4.56,4.36,4.88,0.23,4.12,,
October,1.17,4.16,2.69,4.21,1.54,1.77,3.64,3.68,3.76,9.01,,
November,7.35,4.74,2.67,6.27,3.86,0.66,3.10,2.83,5.30,5.15,,
December,2.48,2.76,1.08,3.00,4.45,3.54,3.75,4.26,6.64,4.02,,
Total,40.32,37.28,31.20,40.82,30.57,27.41,37.13,37.95,33.35,47.72,,
Calc annual,40.32,37.28,31.20,40.82,28.54,27.41,37.13,37.95,33.35,47.72,,
Difference,0.00,0.00,-0.00,0.00,2.03,0.00,0.00,0.00,0.00,0.00,,
