"BRIDGE OF EARN (RAMSHEUGH)",,,,,,,,,,,,
Grid ref,NO131141,Long,-3.406266,Lat,56.311314,,,,,,,
Station no,5537/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.20,4.50,0.90,2.40,1.94,2.20,5.56,3.54,1.46,4.31,,
February,2.00,0.65,1.10,3.00,2.50,1.04,3.78,3.30,0.95,3.26,,
March,2.10,,0.85,3.50,1.60,2.30,2.74,2.75,1.54,2.09,,
April,2.80,,2.35,1.20,1.40,0.80,0.87,1.62,2.47,3.40,,
May,1.70,,2.10,6.55,2.60,1.17,1.99,2.44,1.21,3.14,,
June,1.70,,1.92,3.40,2.10,2.85,0.87,3.98,2.13,2.25,,
July,4.18,,5.35,3.00,1.10,6.60,4.70,6.79,4.47,3.05,,
August,5.40,,1.24,3.50,0.70,5.40,5.14,4.14,0.59,4.11,,
September,2.80,2.90,3.35,2.60,1.40,4.46,2.08,3.11,0.64,1.96,,
October,0.70,5.00,0.92,6.10,2.25,1.84,1.87,2.51,2.52,6.15,,
November,3.00,1.30,3.25,-999.00,2.00,0.58,2.32,0.86,6.73,4.09,,
December,5.40,5.40,4.00,7.66,5.90,5.52,5.85,6.12,6.12,3.61,,
Total,33.98,,27.33,51.61,25.49,34.76,37.77,41.16,30.83,41.42,,
Calc annual,33.98,19.75,27.33,42.91,25.49,34.76,37.77,41.16,30.83,41.42,,
Difference,0.00,NaN,-0.00,8.70,0.00,0.00,0.00,0.00,-0.00,0.00,,
