"CLEISH HILLS (BLAIRADAM)",,,,,,,,,,,,
Grid ref,NT114950,Long,-3.427342,Lat,56.139451,,,,,,,
Station no,5481,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.19,2.35,2.98,3.34,2.22,2.81,4.08,1.55,1.05,3.92,,
February,2.72,0.44,0.85,3.05,2.06,2.05,3.05,2.54,0.90,1.88,,
March,3.21,3.54,1.87,3.94,2.38,1.57,2.77,2.98,1.40,1.34,,
April,1.79,1.44,0.57,1.18,1.03,0.65,1.35,1.32,2.15,1.44,,
May,2.69,1.01,2.37,4.97,3.09,1.70,1.54,2.75,0.53,2.65,,
June,2.56,3.21,2.66,3.44,1.76,2.18,1.60,3.60,2.60,1.30,,
July,5.43,1.79,1.64,1.99,0.91,5.19,4.20,4.66,3.28,4.00,,
August,2.86,2.82,4.88,4.00,0.77,5.35,4.45,2.62,0.44,4.50,,
September,1.66,2.07,0.85,4.81,1.78,2.62,1.41,3.18,0.83,2.10,,
October,0.81,1.80,4.49,8.13,2.62,2.14,2.18,2.25,2.17,5.36,,
November,6.10,2.22,1.57,4.76,1.48,0.40,1.70,1.18,5.47,3.32,,
December,3.45,2.98,4.97,3.59,6.23,2.72,4.06,5.70,4.42,3.32,,
Total,37.47,25.67,29.70,47.20,26.33,29.38,32.39,34.33,25.24,35.13,,
Calc annual,37.47,25.67,29.70,47.20,26.33,29.38,32.39,34.33,25.24,35.13,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,
