"SWAFFHAM PRIOR VICARAGE",,,,,,,,,,,,
Grid ref,TL566639,Long,0.292635,Lat,52.250994,,,,,,,
Station no,1209,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,2.66,2.08,,
February,,,,,,,,,0.13,1.21,,
March,,,,,,,,0.81,1.68,1.45,,
April,,,,,,,,1.27,1.65,0.32,,
May,,,,,,,,2.57,0.67,0.71,,
June,,,,,,,,4.77,1.30,2.39,,
July,,,,,,,,4.08,4.83,3.39,,
August,,,,,,,,2.62,0.73,3.31,,
September,,,,,,,,2.39,0.04,3.91,,
October,,,,,,,,1.98,1.54,4.04,,
November,,,,,,,,1.34,1.48,2.86,,
December,,,,,,,,2.30,2.90,2.94,,
Total,,,,,,,,,19.61,28.61,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.13,19.61,28.61,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
