"BALLYNAHINCH SPA",,,,,,,,,,,,
Grid ref,IJ375481,Long,-5.885130,Lat,54.363133,,,,,,,
Station no,6200/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,3.75,5.89,4.71,,,,
February,,,,,,0.91,1.15,5.04,,,,
March,,,,,,1.81,3.44,1.48,,,,
April,,,,,,1.52,0.94,1.32,,,,
May,,,,,,0.86,2.74,3.48,,,,
June,,,,,3.80,2.85,0.83,6.54,,,,
July,,,,,1.75,3.12,4.95,,,,,
August,,,,,1.25,6.35,2.32,,,,,
September,,,,,2.04,4.23,5.38,,,,,
October,,,,,1.82,1.94,3.69,2.86,,,,
November,,,,,3.23,2.23,2.93,1.46,,,,
December,,,,,4.11,4.06,5.70,,,,,
Total,,,,,,33.63,39.96,,,,,
Calc annual,0.00,0.00,0.00,0.00,18.00,33.63,39.96,26.89,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,NaN,NaN,NaN,,
