"LOCH GARBHAIG",,,,,,,,,,,,
Grid ref,NG978705,Long,-5.392890,Lat,57.678776,,,,,,,
Station no,5784/5/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,7.30,6.90,5.50,,
February,,,,,,,,6.80,3.40,6.20,,
March,,,,,,,,2.27,2.60,0.75,,
April,,,,,,,,4.30,5.29,5.75,,
May,,,,,,,,4.45,2.41,2.60,,
June,,,,,,,,2.36,6.50,10.30,,
July,,,,,,,,3.80,4.39,5.10,,
August,,,,,,,,4.50,4.54,6.40,,
September,,,,,,,9.00,3.30,2.57,2.70,,
October,,,,,,,10.80,8.60,11.85,2.20,,
November,,,,,,,5.50,3.20,7.73,4.80,,
December,,,,,,,10.80,5.85,9.38,8.00,,
Total,,,,,,,,56.73,67.56,60.30,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,36.10,56.73,67.56,60.30,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,-0.00,,
