"LAIDE (GRUINARD)",,,,,,,,,,,,
Grid ref,NG900916,Long,-5.541920,Lat,57.864367,,,,,,,
Station no,5782/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.37,6.71,,,,,,,,,,
February,3.49,3.09,,,,,,,,,,
March,2.50,3.17,,,,,,,,,,
April,5.73,3.65,,,,,,,,,,
May,1.38,3.00,,,,,,,,,,
June,2.14,4.64,,,,,,,,,,
July,3.34,3.82,,,,,,,,,,
August,3.06,5.27,,,,,,,,,,
September,2.33,5.53,,,,,,,,,,
October,4.06,6.54,,,,,,,,,,
November,5.94,5.37,,,,,,,,,,
December,6.50,7.77,,,,,,,,,,
Total,46.84,58.56,,,,,,,,,,
Calc annual,46.84,58.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
