"ARDTALNAIG (MILTON)",,,,,,,,,,,,
Grid ref,NN701391,Long,-4.113299,Lat,56.525926,,,,,,,
Station no,5556/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.03,4.61,1.75,,,,,4.98,2.22,2.60,,
February,4.15,1.25,1.55,,,,,2.89,1.39,5.84,,
March,2.63,3.49,,,,,,1.57,4.06,1.98,,
April,3.09,2.28,3.20,,,,,1.55,4.24,5.19,,
May,1.93,3.02,,,,,,3.41,0.80,3.58,,
June,1.81,3.39,,,,,,4.14,2.51,2.17,,
July,3.47,2.44,,,,,,4.47,5.18,2.92,,
August,6.16,3.47,,,,,,5.60,1.97,3.71,,
September,3.80,2.16,,,,,,5.06,0.78,4.07,,
October,1.53,6.12,,,,,,3.87,5.91,7.28,,
November,13.00,2.67,,,,,,1.18,8.08,7.24,,
December,7.74,3.57,,,,,,8.66,11.12,6.73,,
Total,53.34,38.47,,,,,,47.38,48.26,53.31,,
Calc annual,53.34,38.47,6.50,0.00,0.00,0.00,0.00,47.38,48.26,53.31,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
