"SOUTHFLEET (KENT WATERWORKS)",,,,,,,,,,,,
Grid ref,TQ610724,Long,0.314481,Lat,51.427738,,,,,,,
Station no,407,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.95,1.70,0.84,1.35,2.19,3.22,0.80,2.29,1.75,1.56,,
February,5.64,1.07,1.18,1.75,1.56,0.15,2.57,1.74,0.04,1.17,,
March,2.63,2.35,0.29,1.55,0.88,1.02,0.88,1.14,1.26,0.65,,
April,2.95,0.76,2.32,0.31,0.20,1.37,0.17,1.69,1.55,0.29,,
May,2.02,1.30,1.46,1.93,3.60,0.49,0.95,1.88,0.70,1.77,,
June,1.12,1.16,1.67,3.17,1.43,1.52,0.76,3.97,0.55,0.68,,
July,2.76,0.60,3.47,2.44,0.06,4.48,3.46,2.34,1.28,2.15,,
August,2.71,2.10,1.15,2.69,0.47,2.47,2.86,3.86,0.58,3.45,,
September,3.04,3.10,2.39,1.22,2.66,2.10,2.44,6.03,0.10,4.20,,
October,0.64,1.98,2.62,1.53,3.88,1.19,1.19,2.41,1.85,5.79,,
November,3.70,4.52,0.86,3.59,0.51,0.65,4.00,1.56,2.77,3.25,,
December,2.00,1.87,0.70,1.67,1.59,2.55,1.62,2.47,2.93,1.84,,
Total,31.16,22.51,18.95,23.20,19.03,21.21,21.70,31.38,15.36,26.80,,
Calc annual,31.16,22.51,18.95,23.20,19.03,21.21,21.70,31.38,15.36,26.80,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
