"HEYSHAM HARBOUR",,,,,,,,,,,,
Grid ref,SD401600,Long,-2.916001,Lat,54.032491,,,,,,,
Station no,3033,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.46,4.06,1.89,3.64,2.09,3.52,,3.03,1.99,5.16,,
February,3.52,0.86,1.19,3.23,2.48,0.14,,4.41,0.66,1.94,,
March,4.50,2.57,1.34,2.63,1.18,0.95,,1.48,2.12,1.18,,
April,1.50,3.52,2.49,0.94,2.61,0.92,,1.36,2.07,2.58,,
May,1.52,2.55,2.09,2.62,3.09,1.99,,4.22,0.77,1.53,,
June,1.07,3.49,1.97,4.04,3.07,1.73,,3.28,6.38,1.05,,
July,2.17,1.36,3.23,4.96,2.13,5.00,,2.38,3.07,5.15,,
August,4.41,4.41,3.57,4.13,1.71,9.86,,3.19,0.14,4.22,,
September,3.97,3.75,4.11,7.26,3.07,2.42,,2.96,0.31,3.35,,
October,1.34,4.05,1.76,8.45,2.20,3.63,,4.99,3.77,3.07,,
November,8.37,2.03,5.05,6.33,1.72,1.47,,1.68,3.72,7.51,,
December,8.50,4.14,2.18,4.38,3.69,4.23,,3.04,7.45,2.79,,
Total,45.33,36.79,30.87,52.61,29.04,35.86,,36.02,32.45,39.53,,
Calc annual,45.33,36.79,30.87,52.61,29.04,35.86,0.00,36.02,32.45,39.53,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,NaN,0.00,0.00,0.00,,
