"YETHOLM (OLD GRADEN)",,,,,,,,,,,,
Grid ref,NT798300,Long,-2.321832,Lat,55.563256,,,,,,,
Station no,5041/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.88,2.12,1.27,2.56,2.67,2.68,3.20,1.51,1.80,4.13,,
February,2.56,0.68,1.53,1.40,4.80,3.44,2.85,2.53,0.41,2.37,,
March,3.73,1.08,0.24,1.26,1.37,0.73,1.69,2.11,0.58,1.51,,
April,2.70,2.54,3.35,0.63,0.61,0.70,0.50,2.76,1.74,1.00,,
May,3.40,1.56,2.57,5.16,1.82,0.86,1.48,2.44,0.46,1.27,,
June,1.64,1.96,1.91,2.18,1.34,2.53,1.12,3.72,2.72,1.17,,
July,2.74,1.35,4.39,3.07,1.75,3.88,3.37,4.70,1.76,2.81,,
August,3.40,4.92,3.06,7.26,1.07,9.12,4.98,2.20,0.44,4.37,,
September,1.11,3.20,3.65,2.16,2.24,3.07,2.00,2.11,0.86,1.91,,
October,0.62,2.93,1.48,4.09,2.19,1.28,1.97,1.28,1.64,6.65,,
November,5.87,5.16,2.04,2.96,1.05,0.86,1.72,0.85,5.76,2.34,,
December,1.72,4.27,1.69,2.96,3.89,2.53,2.08,4.07,4.02,1.99,,
Total,32.37,31.77,27.18,35.69,24.80,31.68,26.96,30.28,22.19,31.52,,
Calc annual,32.37,31.77,27.18,35.69,24.80,31.68,26.96,30.28,22.19,31.52,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
