"DUFFTOWN (BALVENIE ST)",,,,,,,,,,,,
Grid ref,NJ326399,Long,-3.124570,Lat,57.444391,,,,,,,
Station no,5671/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,5.21,4.13,,
February,,,,,,,,,0.53,3.53,,
March,,,,,,,,,1.00,1.44,,
April,,,,,,,,,2.41,2.09,,
May,,,,,,,,3.03,1.10,0.85,,
June,,,,,,,,3.17,1.99,3.32,,
July,,,,,,,,7.63,2.82,3.26,,
August,,,,,,,,3.54,1.41,6.99,,
September,,,,,,,,2.30,0.70,2.08,,
October,,,,,,,,2.32,4.65,7.11,,
November,,,,,,,,1.29,5.88,3.12,,
December,,,,,,,,3.48,3.82,1.50,,
Total,,,,,,,,,31.52,39.42,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.76,31.52,39.42,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
