"CAWDOR (AUCHINDOUNE)",,,,,,,,,,,,
Grid ref,NH838479,Long,-3.940991,Lat,57.506338,,,,,,,
Station no,5685/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.44,2.37,1.28,2.07,1.44,1.38,2.64,3.04,2.99,2.96,,
February,2.27,1.25,1.94,1.28,2.26,1.99,2.15,2.71,0.62,2.00,,
March,1.73,1.95,0.98,2.11,1.47,0.69,3.46,1.04,1.25,0.52,,
April,4.64,0.73,3.15,1.19,1.14,1.88,0.61,1.89,3.42,1.72,,
May,0.59,1.71,3.45,4.14,2.73,1.43,0.88,3.00,0.64,0.28,,
June,3.91,2.33,3.58,2.63,0.76,2.27,2.02,2.02,2.67,3.33,,
July,3.22,2.04,3.71,3.42,0.63,9.23,6.05,4.10,2.83,2.56,,
August,5.87,4.83,3.00,2.81,0.52,5.71,6.61,3.76,1.72,10.75,,
September,0.58,2.63,2.53,2.79,2.02,3.47,1.79,2.28,0.72,2.59,,
October,1.41,2.27,1.00,6.39,4.11,3.19,1.73,2.49,3.26,2.93,,
November,4.46,2.74,2.49,1.76,0.63,1.94,2.54,0.83,3.22,1.25,,
December,3.87,2.17,2.62,4.69,6.14,3.46,2.78,2.11,2.07,1.76,,
Total,34.99,27.02,29.73,35.28,23.85,36.64,33.26,29.27,25.41,32.65,,
Calc annual,34.99,27.02,29.73,35.28,23.85,36.64,33.26,29.27,25.41,32.65,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
