"EXETER (THE CLOSE)",,,,,,,,,,,,
Grid ref,SX921926,Long,-3.529974,Lat,50.722973,,,,,,,
Station no,1773,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.58,2.41,0.29,,,,,,,,,
February,4.03,0.56,1.07,,,,,,,,,
March,4.08,2.60,0.58,,,,,,,,,
April,1.84,3.01,2.52,,,,,,,,,
May,2.46,3.69,2.40,,,,,,,,,
June,0.73,0.94,1.76,,,,,,,,,
July,2.16,1.24,2.05,,,,,,,,,
August,2.38,5.20,2.10,,,,,,,,,
September,4.31,2.67,2.49,,,,,,,,,
October,1.53,3.92,2.77,,,,,,,,,
November,5.47,3.34,1.99,,,,,,,,,
December,2.46,3.67,0.56,,,,,,,,,
Total,34.03,33.25,20.58,,,,,,,,,
Calc annual,34.03,33.25,20.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
