"SKERRAY (BORGIE)",,,,,,,,,,,,
Grid ref,NC663579,Long,-4.295162,Lat,58.488736,,,,,,,
Station no,5802,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.10,5.95,3.45,4.28,3.55,6.27,4.52,5.46,8.00,4.34,,
February,4.35,3.03,3.24,3.11,4.05,2.39,3.35,3.70,1.11,3.73,,
March,4.00,3.02,2.09,3.66,1.73,1.64,4.65,2.04,1.28,1.12,,
April,3.81,1.29,3.66,2.05,1.50,2.64,1.88,2.42,3.93,2.54,,
May,0.89,2.49,2.42,1.07,4.00,2.26,1.28,5.22,2.06,2.26,,
June,3.22,2.89,2.86,4.45,1.53,2.40,3.34,1.57,2.11,2.45,,
July,3.30,2.57,5.00,4.57,0.85,8.75,5.33,1.87,5.18,2.78,,
August,4.14,3.69,2.33,2.51,0.40,6.30,5.86,4.07,3.00,4.68,,
September,1.46,4.93,3.00,3.72,4.25,1.78,3.25,1.79,1.93,1.93,,
October,2.29,3.66,1.31,5.58,6.00,4.34,4.85,5.03,4.85,2.53,,
November,6.47,6.14,5.18,5.93,2.35,4.53,3.58,2.29,5.60,2.10,,
December,6.86,5.36,3.19,7.45,6.00,5.03,6.47,4.07,3.77,3.78,,
Total,43.89,45.02,37.73,48.38,36.21,48.33,48.36,39.53,42.82,34.24,,
Calc annual,43.89,45.02,37.73,48.38,36.21,48.33,48.36,39.53,42.82,34.24,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
