"HIGHTERS HEATH RESERVOIR (+A)",,,,,,,,,,,,
Grid ref,SP087793,Long,-1.873524,Lat,52.411634,,,,,,,
Station no,2471/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.14,2.76,1.00,1.00,2.71,3.88,1.35,2.59,3.14,5.22,,
February,3.01,0.53,1.33,2.83,2.21,0.54,2.98,4.23,0.04,2.12,,
March,4.94,2.32,1.87,2.64,3.26,0.89,2.52,1.29,2.00,1.54,,
April,2.81,2.85,2.57,0.93,1.14,1.09,0.22,0.64,3.24,1.26,,
May,3.78,2.45,2.38,2.62,5.05,0.70,1.33,2.44,1.02,1.10,,
June,1.36,1.63,2.11,2.98,3.02,2.13,0.87,3.93,0.58,2.44,,
July,0.96,1.02,3.09,3.16,0.91,3.53,3.65,5.82,2.19,3.39,,
August,4.65,4.28,2.65,4.34,0.42,-999.00,4.15,2.11,1.24,3.87,,
September,1.93,1.59,2.46,1.86,1.50,2.73,4.68,3.15,0.12,4.71,,
October,0.62,4.41,2.19,4.36,1.50,1.58,1.40,2.13,2.97,5.48,,
November,7.17,2.17,1.22,6.01,2.88,0.70,1.96,1.98,4.20,4.00,,
December,2.32,2.73,1.35,2.20,2.41,3.42,2.69,2.91,5.01,3.41,,
Total,36.69,28.74,24.22,34.93,27.01,25.71,27.80,33.22,25.75,38.54,,
Calc annual,36.69,28.74,24.22,34.93,27.01,21.19,27.80,33.22,25.75,38.54,,
Difference,0.00,0.00,0.00,0.00,0.00,4.52,0.00,0.00,0.00,0.00,,
