"WEARDALE W.W. (TUNSTALL RES.)",,,,,,,,,,,,
Grid ref,NZ063407,Long,-1.903620,Lat,54.761199,,,,,,,
Station no,3540,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.42,3.32,0.99,3.77,2.92,4.08,3.37,2.91,3.17,5.41,,
February,3.34,0.46,1.76,2.55,3.24,3.29,3.53,4.41,0.39,3.51,,
March,4.78,1.85,0.30,2.22,2.18,1.46,1.88,2.73,1.31,3.16,,
April,2.32,1.83,3.22,0.72,0.34,1.40,0.50,1.73,3.10,1.63,,
May,3.84,1.99,3.06,5.32,2.18,0.87,1.70,4.05,0.76,2.38,,
June,1.52,1.53,4.04,1.54,2.67,3.68,1.46,3.81,2.58,0.56,,
July,1.80,1.16,2.05,1.53,1.26,3.05,3.62,2.81,1.43,4.97,,
August,5.13,4.18,5.47,7.27,1.05,8.46,4.73,3.12,0.59,3.56,,
September,1.78,4.52,2.22,3.46,1.29,3.35,4.12,2.86,0.97,3.57,,
October,1.05,5.43,2.24,5.22,2.34,2.16,2.18,2.43,2.05,10.24,,
November,8.49,3.77,2.09,6.17,2.51,1.09,2.42,0.67,5.70,3.86,,
December,4.96,3.64,1.33,3.95,4.46,4.18,2.83,5.41,5.24,3.07,,
Total,41.43,33.68,28.77,43.72,26.44,37.07,32.34,36.94,27.29,45.92,,
Calc annual,41.43,33.68,28.77,43.72,26.44,37.07,32.34,36.94,27.29,45.92,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
