"KNOCK (ORMISTON DRIVE)",,,,,,,,,,,,
Grid ref,NW509290,Long,-5.857687,Lat,54.594598,,,,,,,
Station no,6205/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,4.16,0.98,2.62,4.09,,,,,,,
February,,0.55,1.47,3.52,3.42,,,,,,,
March,,1.32,0.28,4.02,1.55,,,,,,,
April,,1.87,1.55,0.57,2.18,,,,,,,
May,,1.42,2.24,3.83,2.67,,,,,,,
June,,2.49,1.92,2.81,4.85,,,,,,,
July,2.85,1.31,5.07,3.65,1.40,,,,,,,
August,3.76,5.51,2.88,2.84,1.70,,,,,,,
September,2.90,1.71,2.75,4.58,3.21,,,,,,,
October,0.44,4.38,2.60,5.42,2.78,,,,,,,
November,7.30,3.19,3.70,6.71,3.38,,,,,,,
December,4.83,3.88,2.78,5.11,6.05,,,,,,,
Total,,31.79,28.22,45.68,37.28,,,,,,,
Calc annual,22.08,31.79,28.22,45.68,37.28,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,-0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
