"BANCHORY (INVERY)",,,,,,,,,,,,
Grid ref,NO698940,Long,-2.499236,Lat,57.036099,,,,,,,
Station no,5622,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.16,1.85,1.07,1.63,1.50,4.98,3.34,3.82,1.74,5.51,,
February,4.78,1.18,1.50,4.54,4.06,2.17,3.20,3.84,0.27,4.54,,
March,2.40,4.76,0.23,3.69,2.36,1.97,2.36,5.21,1.83,2.03,,
April,2.94,1.07,4.40,1.15,0.49,1.45,1.10,1.91,2.86,2.27,,
May,1.54,2.65,1.70,5.18,2.14,0.53,2.43,3.10,1.87,0.86,,
June,1.11,2.83,2.81,1.67,1.23,2.91,3.36,2.83,2.55,1.46,,
July,5.49,1.52,3.74,4.13,0.66,4.94,7.85,8.15,2.40,2.43,,
August,4.21,5.08,1.86,5.21,0.27,4.98,6.54,5.89,0.65,5.21,,
September,1.75,0.85,2.99,1.46,1.54,5.42,2.13,2.85,0.74,3.27,,
October,1.03,4.69,2.14,6.09,4.49,2.37,1.15,1.67,4.28,9.72,,
November,10.48,3.25,3.02,9.01,2.41,1.57,1.88,0.65,8.54,7.11,,
December,2.95,3.20,3.63,4.49,6.71,5.88,5.22,6.63,8.08,2.41,,
Total,42.84,32.93,29.09,48.25,27.86,39.17,40.56,46.55,35.81,46.82,,
Calc annual,42.84,32.93,29.09,48.25,27.86,39.17,40.56,46.55,35.81,46.82,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
