"HANLEY (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,SJ886461,Long,-2.171361,Lat,53.012083,,,,,,,
Station no,2364/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.44,3.43,1.09,1.56,2.64,3.74,1.98,3.33,2.47,4.98,,
February,2.72,1.33,1.99,2.96,1.76,0.66,2.75,4.04,0.43,2.07,,
March,4.15,1.61,1.36,2.54,2.58,1.64,3.00,1.39,2.14,1.22,,
April,2.41,3.04,2.51,0.60,1.54,1.08,0.36,1.07,3.58,1.43,,
May,2.58,2.34,2.26,2.20,3.09,0.77,1.11,3.19,0.61,1.72,,
June,1.62,2.36,3.96,4.12,2.86,2.73,2.34,5.82,1.41,3.54,,
July,1.98,1.51,2.97,3.39,0.51,4.30,5.03,3.40,1.58,3.06,,
August,4.63,2.18,2.92,5.31,1.11,6.07,5.57,3.78,0.41,4.17,,
September,1.99,2.09,2.42,3.42,2.83,2.13,5.39,4.50,0.11,4.32,,
October,0.71,3.55,2.01,5.63,1.61,2.00,2.43,3.76,1.95,3.95,,
November,7.85,1.80,1.87,5.64,1.91,1.32,1.58,1.83,3.61,4.00,,
December,3.82,3.39,1.26,3.84,2.67,3.28,2.13,2.95,5.14,2.98,,
Total,36.90,28.63,26.62,41.21,25.11,29.72,33.67,39.06,23.44,37.44,,
Calc annual,36.90,28.63,26.62,41.21,25.11,29.72,33.67,39.06,23.44,37.44,,
Difference,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
